threshold,addressSize,train_accuracy_mean,train_accuracy_std,validation_accuracy_mean,validation_accuracy_std,test_accuracy_mean,test_accuracy_std
111,10,0.8449614512471655,0.001831542730433032,0.8355102040816327,0.0131574896362375,0.8078380952380954,0.002219292853810669
111,15,0.9021383219954648,0.002181685199518695,0.8892448979591837,0.019612881979076856,0.8387333333333334,0.002463723193215735
111,20,0.9565986394557824,0.001326559683383996,0.9436530612244898,0.02048687880690091,0.8784476190476191,0.0020667105547238092
111,25,0.9822063492063492,0.000762596193118592,0.971204081632653,0.02197826536084124,0.903504761904762,0.0016489122367869982
111,30,0.9950158730158732,0.0003441636076173107,0.9857142857142858,0.02342124609934994,0.9166904761904762,0.0012818725673449493
111,35,0.9989637188208615,9.990199896557745e-05,0.9914081632653062,0.02108894118331301,0.9253619047619048,0.0004666666666666658
111,40,0.9995238095238096,8.956198484413859e-05,0.9913265306122452,0.02411952225071353,0.9261523809523812,0.0006587282463158341
111,45,0.9999138321995464,3.332639105825076e-05,0.991816326530612,0.024007573773720328,0.9188476190476192,0.00041338160788971463
111,50,0.9999750566893424,1.8835881775334907e-05,0.990591836734694,0.028021002713789774,0.9068761904761904,0.0011948870666472207
125,10,0.8456031746031746,0.0017251586824329633,0.8370000000000001,0.011045342163413146,0.8039904761904761,0.002267666846159293
125,15,0.9054285714285714,0.0015849415561873315,0.8928367346938775,0.014323405089611175,0.8431523809523811,0.0021868292622475613
125,20,0.9544489795918366,0.00126443618043253,0.942122448979592,0.021641546111991424,0.8730142857142857,0.0022502254863077573
125,25,0.9840725623582768,0.0005125117878051137,0.9726122448979592,0.02254354848973326,0.8983761904761906,0.001382831234179444
125,30,0.9933605442176872,0.00022236100992526715,0.9840408163265304,0.02207136960185354,0.9165619047619048,0.0007211731435292562
125,35,0.9967210884353742,0.00020837015886913552,0.9877142857142858,0.023483012903878654,0.9170380952380952,0.00039140423977208303
125,40,0.9991337868480727,8.944708808761244e-05,0.9912653061224488,0.022670851627939054,0.9238333333333332,0.0006808857776285582
125,45,0.9997460317460318,2.832198638731007e-05,0.9906734693877552,0.026892515939898137,0.9164,0.0010063742423404244
125,50,0.99997052154195,2.6925945775611155e-05,0.9904285714285714,0.0285104962514064,0.9028333333333332,0.001555948282138351
130,10,0.8249727891156462,0.0017345990222017039,0.8162653061224491,0.011297001404489065,0.7811238095238096,0.0020678074534151076
130,15,0.8983469387755102,0.0021263615409548155,0.8855102040816327,0.017484448971921543,0.8347904761904763,0.001726044328788605
130,20,0.9562630385487528,0.0009579687067271367,0.9426122448979593,0.020774427621046282,0.8804619047619049,0.0018818924715234089
130,25,0.9787641723356008,0.0007632162613604124,0.9665918367346941,0.0231155311444844,0.8966190476190476,0.0012602414914531367
130,30,0.9951814058956916,0.00031571434353145803,0.9861224489795918,0.022615891550056458,0.9201095238095238,0.0009656339780640834
130,35,0.9983514739229026,9.938597279278388e-05,0.9908163265306122,0.02055477946286896,0.9216619047619048,0.0009153391748355592
130,40,0.9992312925170068,5.952110997011495e-05,0.9903265306122451,0.02460791243554909,0.919042857142857,0.0006304625232298048
130,45,0.9998231292517008,3.7671763550644416e-05,0.9907551020408164,0.02685314932159968,0.9155095238095236,0.0008467759316714706
130,50,0.99987074829932,3.050708400695052e-05,0.9889795918367348,0.03244936464923632,0.9031857142857144,0.001223994797908107
135,10,0.8170362811791383,0.001068412291984795,0.8077142857142858,0.009483891074915743,0.7716428571428572,0.0018101815847076047
135,15,0.91181179138322,0.0013932741174247113,0.8983469387755102,0.01858811764141441,0.8411238095238096,0.002231825056741717
135,20,0.9543492063492064,0.0011997500780978664,0.9414897959183676,0.021493981800595145,0.8698809523809524,0.0024965509087357656
135,25,0.9736145124716554,0.000858162059467771,0.9604285714285714,0.024590854413440114,0.8916476190476189,0.0017020995438407386
135,30,0.992251700680272,0.0005549814239149677,0.9824285714285714,0.022984421502836992,0.9140523809523811,0.0008314809343681362
135,35,0.997657596371882,0.00017827513842178059,0.9880408163265306,0.025498478938064804,0.9174333333333332,0.0006144333525055494
135,40,0.9993514739229026,9.737374400717216e-05,0.9915102040816328,0.022619058871666174,0.9190428571428572,0.0005755604583967335
135,45,0.9996462585034016,5.2888452560955e-05,0.9905102040816328,0.02717801160623794,0.9159809523809525,0.000982199854045993
135,50,0.9999206349206348,2.090599650180956e-05,0.9889183673469388,0.03304106843382409,0.8971095238095239,0.0010751891675569154
